Model (Parameters),z and alpha,"Data (len:900, TCP:500)",ARL0,ARL1,seed,Gap Size,Data Var
"SWM (z:1.6449,a:0.5,10)",z:1.6449 alpha:0.5,MG:0 Var:1,3.6016260162601625,,111,0,1
"TM (z:1.6449,a:0.5,(0.1, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,3.8189655172413794,,111,0,1
"WM (z:1.6449,a:0.5,(0.1, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,3.6163265306122447,,111,0,1
"CTM (z:1.6449,a:0.5,(0.1, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,5.6075949367088604,,111,0,1
"SWM (z:1.6449,a:0.5,15)",z:1.6449 alpha:0.5,MG:0 Var:1,3.6072874493927127,,111,0,1
"TM (z:1.6449,a:0.5,(0.1, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,5.0625,,111,0,1
"WM (z:1.6449,a:0.5,(0.1, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,4.73936170212766,,111,0,1
"CTM (z:1.6449,a:0.5,(0.1, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,7.681034482758621,,111,0,1
"SWM (z:1.6449,a:0.5,20)",z:1.6449 alpha:0.5,MG:0 Var:1,5.7243589743589745,,111,0,1
"TM (z:1.6449,a:0.5,(0.1, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,7.632478632478633,,111,0,1
"WM (z:1.6449,a:0.5,(0.1, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,6.922480620155039,,111,0,1
"CTM (z:1.6449,a:0.5,(0.1, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,10.890243902439025,,111,0,1
"SWM (z:1.6449,a:0.5,25)",z:1.6449 alpha:0.5,MG:0 Var:1,6.803030303030303,,111,0,1
"TM (z:1.6449,a:0.5,(0.15, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,3.8189655172413794,,111,0,1
"WM (z:1.6449,a:0.5,(0.15, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,3.6163265306122447,,111,0,1
"CTM (z:1.6449,a:0.5,(0.15, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,6.195804195804196,,111,0,1
"SWM (z:1.6449,a:0.5,30)",z:1.6449 alpha:0.5,MG:0 Var:1,7.40952380952381,,111,0,1
"TM (z:1.6449,a:0.5,(0.15, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,5.367469879518072,,111,0,1
"WM (z:1.6449,a:0.5,(0.15, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,4.977653631284916,,111,0,1
"CTM (z:1.6449,a:0.5,(0.15, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,8.88,,111,0,1
"WM (z:1.6449,a:0.5,(0.15, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,7.765217391304348,,111,0,1
"CTM (z:1.6449,a:0.5,(0.15, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,14.639344262295081,,111,0,1
"WM (z:1.6449,a:0.5,(0.2, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,3.8189655172413794,,111,0,1
"CTM (z:1.6449,a:0.5,(0.2, 10))",z:1.6449 alpha:0.5,MG:0 Var:1,7.262295081967213,,111,0,1
"WM (z:1.6449,a:0.5,(0.2, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,5.432926829268292,,111,0,1
"CTM (z:1.6449,a:0.5,(0.2, 15))",z:1.6449 alpha:0.5,MG:0 Var:1,11.532467532467532,,111,0,1
"WM (z:1.6449,a:0.5,(0.2, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,7.632478632478633,,111,0,1
"CTM (z:1.6449,a:0.5,(0.2, 20))",z:1.6449 alpha:0.5,MG:0 Var:1,15.958333333333334,,111,0,1
"SWM (z:1.6449,a:0.75,10)",z:1.6449 alpha:0.75,MG:0 Var:1,8.036363636363637,,111,0,1
"TM (z:1.6449,a:0.75,(0.1, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,13.0,,111,0,1
"WM (z:1.6449,a:0.75,(0.1, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,14.031746031746032,,111,0,1
"CTM (z:1.6449,a:0.75,(0.1, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,33.96153846153846,,111,0,1
"SWM (z:1.6449,a:0.75,15)",z:1.6449 alpha:0.75,MG:0 Var:1,15.189655172413794,,111,0,1
"TM (z:1.6449,a:0.75,(0.1, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,28.11111111111111,,111,0,1
"WM (z:1.6449,a:0.75,(0.1, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,29.192307692307693,,111,0,1
"CTM (z:1.6449,a:0.75,(0.1, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,150.6,,111,0,1
"SWM (z:1.6449,a:0.75,20)",z:1.6449 alpha:0.75,MG:0 Var:1,23.21212121212121,,111,0,1
"TM (z:1.6449,a:0.75,(0.1, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,76.4,,111,0,1
"WM (z:1.6449,a:0.75,(0.1, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,94.875,,111,0,1
"CTM (z:1.6449,a:0.75,(0.1, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,758.0,,111,0,1
"SWM (z:1.6449,a:0.75,25)",z:1.6449 alpha:0.75,MG:0 Var:1,54.714285714285715,,111,0,1
"TM (z:1.6449,a:0.75,(0.15, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,13.0,,111,0,1
"WM (z:1.6449,a:0.75,(0.15, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,14.031746031746032,,111,0,1
"CTM (z:1.6449,a:0.75,(0.15, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,35.32,,111,0,1
"SWM (z:1.6449,a:0.75,30)",z:1.6449 alpha:0.75,MG:0 Var:1,255.0,,111,0,1
"TM (z:1.6449,a:0.75,(0.15, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,23.0,,111,0,1
"WM (z:1.6449,a:0.75,(0.15, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,26.17241379310345,,111,0,1
"CTM (z:1.6449,a:0.75,(0.15, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,251.0,,111,0,1
"WM (z:1.6449,a:0.75,(0.15, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,84.33333333333333,,111,0,1
"CTM (z:1.6449,a:0.75,(0.15, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:0.75,(0.2, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,12.450704225352112,,111,0,1
"CTM (z:1.6449,a:0.75,(0.2, 10))",z:1.6449 alpha:0.75,MG:0 Var:1,55.1875,,111,0,1
"WM (z:1.6449,a:0.75,(0.2, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,29.366666666666667,,111,0,1
"CTM (z:1.6449,a:0.75,(0.2, 15))",z:1.6449 alpha:0.75,MG:0 Var:1,376.5,,111,0,1
"WM (z:1.6449,a:0.75,(0.2, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,69.45454545454545,,111,0,1
"CTM (z:1.6449,a:0.75,(0.2, 20))",z:1.6449 alpha:0.75,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1,10)",z:1.6449 alpha:1,MG:0 Var:1,26.757575757575758,,111,0,1
"TM (z:1.6449,a:1,(0.1, 10))",z:1.6449 alpha:1,MG:0 Var:1,73.58333333333333,,111,0,1
"WM (z:1.6449,a:1,(0.1, 10))",z:1.6449 alpha:1,MG:0 Var:1,88.3,,111,0,1
"CTM (z:1.6449,a:1,(0.1, 10))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1,15)",z:1.6449 alpha:1,MG:0 Var:1,101.75,,111,0,1
"TM (z:1.6449,a:1,(0.1, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"WM (z:1.6449,a:1,(0.1, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"CTM (z:1.6449,a:1,(0.1, 15))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1,20)",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1,(0.1, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.1, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1,(0.1, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1,25)",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1,(0.15, 10))",z:1.6449 alpha:1,MG:0 Var:1,73.58333333333333,,111,0,1
"WM (z:1.6449,a:1,(0.15, 10))",z:1.6449 alpha:1,MG:0 Var:1,88.3,,111,0,1
"CTM (z:1.6449,a:1,(0.15, 10))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1,30)",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1,(0.15, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"WM (z:1.6449,a:1,(0.15, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"CTM (z:1.6449,a:1,(0.15, 15))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.15, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1,(0.15, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.2, 10))",z:1.6449 alpha:1,MG:0 Var:1,55.1875,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 10))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.2, 15))",z:1.6449 alpha:1,MG:0 Var:1,753.0,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 15))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1,(0.2, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1,(0.2, 20))",z:1.6449 alpha:1,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,10)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,15)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,20)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.1, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,25)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:1.5,30)",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.15, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 10))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 15))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:1.5,(0.2, 20))",z:1.6449 alpha:1.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,10)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,15)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,20)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.1, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,25)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2,30)",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.15, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.2, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.2, 10))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.2, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.2, 15))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2,(0.2, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2,(0.2, 20))",z:1.6449 alpha:2,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2.5,10)",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.1, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2.5,15)",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.1, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2.5,20)",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.1, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2.5,25)",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.15, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.6449,a:2.5,30)",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"TM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"WM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"CTM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.96,a:0.5,10)",z:1.96 alpha:0.5,MG:0 Var:1,3.175627240143369,,111,0,1
"TM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:0 Var:1,3.3688212927756656,,111,0,1
"WM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:0 Var:1,3.164285714285714,,111,0,1
"CTM (z:1.96,a:0.5,(0.1, 10))",z:1.96 alpha:0.5,MG:0 Var:1,4.663157894736842,,111,0,1
"SWM (z:1.96,a:0.5,15)",z:1.96 alpha:0.5,MG:0 Var:1,3.1433566433566433,,111,0,1
"TM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:0 Var:1,4.144186046511628,,111,0,1
"WM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:0 Var:1,3.8405172413793105,,111,0,1
"CTM (z:1.96,a:0.5,(0.1, 15))",z:1.96 alpha:0.5,MG:0 Var:1,5.97986577181208,,111,0,1
"SWM (z:1.96,a:0.5,20)",z:1.96 alpha:0.5,MG:0 Var:1,5.045197740112994,,111,0,1
"TM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:0 Var:1,6.033783783783784,,111,0,1
"WM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:0 Var:1,5.284023668639053,,111,0,1
"CTM (z:1.96,a:0.5,(0.1, 20))",z:1.96 alpha:0.5,MG:0 Var:1,8.754901960784315,,111,0,1
"SWM (z:1.96,a:0.5,25)",z:1.96 alpha:0.5,MG:0 Var:1,5.409638554216867,,111,0,1
"TM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:0 Var:1,3.3688212927756656,,111,0,1
"WM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:0 Var:1,3.164285714285714,,111,0,1
"CTM (z:1.96,a:0.5,(0.15, 10))",z:1.96 alpha:0.5,MG:0 Var:1,5.034090909090909,,111,0,1
"SWM (z:1.96,a:0.5,30)",z:1.96 alpha:0.5,MG:0 Var:1,7.920353982300885,,111,0,1
"TM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:0 Var:1,4.389162561576355,,111,0,1
"WM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:0 Var:1,4.240566037735849,,111,0,1
"CTM (z:1.96,a:0.5,(0.15, 15))",z:1.96 alpha:0.5,MG:0 Var:1,6.9609375,,111,0,1
"WM (z:1.96,a:0.5,(0.15, 20))",z:1.96 alpha:0.5,MG:0 Var:1,5.798701298701299,,111,0,1
"CTM (z:1.96,a:0.5,(0.15, 20))",z:1.96 alpha:0.5,MG:0 Var:1,9.922222222222222,,111,0,1
"WM (z:1.96,a:0.5,(0.2, 10))",z:1.96 alpha:0.5,MG:0 Var:1,3.330827067669173,,111,0,1
"CTM (z:1.96,a:0.5,(0.2, 10))",z:1.96 alpha:0.5,MG:0 Var:1,5.790849673202614,,111,0,1
"WM (z:1.96,a:0.5,(0.2, 15))",z:1.96 alpha:0.5,MG:0 Var:1,4.714285714285714,,111,0,1
"CTM (z:1.96,a:0.5,(0.2, 15))",z:1.96 alpha:0.5,MG:0 Var:1,8.222222222222221,,111,0,1
"WM (z:1.96,a:0.5,(0.2, 20))",z:1.96 alpha:0.5,MG:0 Var:1,5.658227848101266,,111,0,1
"CTM (z:1.96,a:0.5,(0.2, 20))",z:1.96 alpha:0.5,MG:0 Var:1,11.597402597402597,,111,0,1
"SWM (z:1.96,a:0.75,10)",z:1.96 alpha:0.75,MG:0 Var:1,7.6869565217391305,,111,0,1
"TM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:0 Var:1,11.631578947368421,,111,0,1
"WM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:0 Var:1,11.480519480519481,,111,0,1
"CTM (z:1.96,a:0.75,(0.1, 10))",z:1.96 alpha:0.75,MG:0 Var:1,24.555555555555557,,111,0,1
"SWM (z:1.96,a:0.75,15)",z:1.96 alpha:0.75,MG:0 Var:1,12.585714285714285,,111,0,1
"TM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:0 Var:1,22.323529411764707,,111,0,1
"WM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:0 Var:1,21.685714285714287,,111,0,1
"CTM (z:1.96,a:0.75,(0.1, 15))",z:1.96 alpha:0.75,MG:0 Var:1,63.25,,111,0,1
"SWM (z:1.96,a:0.75,20)",z:1.96 alpha:0.75,MG:0 Var:1,23.21212121212121,,111,0,1
"TM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:0 Var:1,42.55555555555556,,111,0,1
"WM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:0 Var:1,50.93333333333333,,111,0,1
"CTM (z:1.96,a:0.75,(0.1, 20))",z:1.96 alpha:0.75,MG:0 Var:1,379.0,,111,0,1
"SWM (z:1.96,a:0.75,25)",z:1.96 alpha:0.75,MG:0 Var:1,31.916666666666668,,111,0,1
"TM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:0 Var:1,11.631578947368421,,111,0,1
"WM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:0 Var:1,11.480519480519481,,111,0,1
"CTM (z:1.96,a:0.75,(0.15, 10))",z:1.96 alpha:0.75,MG:0 Var:1,26.0,,111,0,1
"SWM (z:1.96,a:0.75,30)",z:1.96 alpha:0.75,MG:0 Var:1,255.0,,111,0,1
"TM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:0 Var:1,18.609756097560975,,111,0,1
"WM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:0 Var:1,18.071428571428573,,111,0,1
"CTM (z:1.96,a:0.75,(0.15, 15))",z:1.96 alpha:0.75,MG:0 Var:1,150.6,,111,0,1
"WM (z:1.96,a:0.75,(0.15, 20))",z:1.96 alpha:0.75,MG:0 Var:1,50.93333333333333,,111,0,1
"CTM (z:1.96,a:0.75,(0.15, 20))",z:1.96 alpha:0.75,MG:0 Var:1,758.0,,111,0,1
"WM (z:1.96,a:0.75,(0.2, 10))",z:1.96 alpha:0.75,MG:0 Var:1,10.523809523809524,,111,0,1
"CTM (z:1.96,a:0.75,(0.2, 10))",z:1.96 alpha:0.75,MG:0 Var:1,38.391304347826086,,111,0,1
"WM (z:1.96,a:0.75,(0.2, 15))",z:1.96 alpha:0.75,MG:0 Var:1,22.58974358974359,,111,0,1
"CTM (z:1.96,a:0.75,(0.2, 15))",z:1.96 alpha:0.75,MG:0 Var:1,251.0,,111,0,1
"WM (z:1.96,a:0.75,(0.2, 20))",z:1.96 alpha:0.75,MG:0 Var:1,47.75,,111,0,1
"CTM (z:1.96,a:0.75,(0.2, 20))",z:1.96 alpha:0.75,MG:0 Var:1,900.0,,111,0,1
"SWM (z:1.96,a:1,10)",z:1.96 alpha:1,MG:0 Var:1,25.970588235294116,,111,0,1
"TM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:0 Var:1,55.1875,,111,0,1
