Model (Parameters),z and alpha,"Data (len:900, TCP:500)",ARL0,ARL1,seed,Gap Size,Data Var
"SWM (z:1.6449,a:2.5,30)",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:2.5,(0.15, 15))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:2.5,(0.15, 20))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:2.5,(0.2, 10))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:2.5,(0.2, 15))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:2.5,(0.2, 20))",z:1.6449 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.6449,a:3,10)",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:3,(0.1, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.1, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.1, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.6449,a:3,15)",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:3,(0.1, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.1, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.1, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.6449,a:3,20)",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:3,(0.1, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.1, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.1, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.6449,a:3,25)",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:3,(0.15, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.15, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.15, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.6449,a:3,30)",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.6449,a:3,(0.15, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.15, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.15, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.15, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.15, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.2, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.2, 10))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.2, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.2, 15))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.6449,a:3,(0.2, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.6449,a:3,(0.2, 20))",z:1.6449 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1,10)",z:1.96 alpha:1,MG:0 Var:9,20.58139534883721,,111,0,9
"TM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:0 Var:9,38.43478260869565,,111,0,9
"WM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:0 Var:9,38.43478260869565,,111,0,9
"CTM (z:1.96,a:1,(0.1, 10))",z:1.96 alpha:1,MG:0 Var:9,270.3333333333333,,111,0,9
"SWM (z:1.96,a:1,15)",z:1.96 alpha:1,MG:0 Var:9,61.916666666666664,,111,0,9
"TM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:0 Var:9,180.0,,111,0,9
"WM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:0 Var:9,180.0,,111,0,9
"CTM (z:1.96,a:1,(0.1, 15))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1,20)",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1,(0.1, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1,25)",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:0 Var:9,38.43478260869565,,111,0,9
"WM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:0 Var:9,38.43478260869565,,111,0,9
"CTM (z:1.96,a:1,(0.15, 10))",z:1.96 alpha:1,MG:0 Var:9,270.3333333333333,,111,0,9
"SWM (z:1.96,a:1,30)",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:0 Var:9,136.0,,111,0,9
"WM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:0 Var:9,163.2,,111,0,9
"CTM (z:1.96,a:1,(0.15, 15))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1,(0.15, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1,(0.15, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1,(0.2, 10))",z:1.96 alpha:1,MG:0 Var:9,27.625,,111,0,9
"CTM (z:1.96,a:1,(0.2, 10))",z:1.96 alpha:1,MG:0 Var:9,180.5,,111,0,9
"WM (z:1.96,a:1,(0.2, 15))",z:1.96 alpha:1,MG:0 Var:9,136.0,,111,0,9
"CTM (z:1.96,a:1,(0.2, 15))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1,(0.2, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1,(0.2, 20))",z:1.96 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1.5,10)",z:1.96 alpha:1.5,MG:0 Var:9,884.0,,111,0,9
"TM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.1, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1.5,15)",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.1, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1.5,20)",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.1, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1.5,25)",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.15, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:1.5,30)",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.15, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.15, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.15, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.2, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.2, 10))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.2, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.2, 15))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:1.5,(0.2, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:1.5,(0.2, 20))",z:1.96 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2,10)",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.1, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2,15)",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.1, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2,20)",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.1, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2,25)",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.15, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2,30)",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.15, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.15, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.15, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.2, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.2, 10))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.2, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.2, 15))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2,(0.2, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2,(0.2, 20))",z:1.96 alpha:2,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2.5,10)",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.1, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2.5,15)",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.1, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2.5,20)",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2.5,(0.1, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.1, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.1, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2.5,25)",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2.5,(0.15, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.15, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.15, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:2.5,30)",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:2.5,(0.15, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.15, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.15, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.15, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.15, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.2, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.2, 10))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.2, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.2, 15))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:2.5,(0.2, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:2.5,(0.2, 20))",z:1.96 alpha:2.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:3,10)",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:3,(0.1, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.1, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.1, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:3,15)",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:3,(0.1, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.1, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.1, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:3,20)",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:3,(0.1, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.1, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.1, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:3,25)",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:3,(0.15, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.15, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.15, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:1.96,a:3,30)",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"TM (z:1.96,a:3,(0.15, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.15, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.15, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.15, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.15, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.2, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.2, 10))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.2, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.2, 15))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"WM (z:1.96,a:3,(0.2, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"CTM (z:1.96,a:3,(0.2, 20))",z:1.96 alpha:3,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1,10)",z:2.5759 alpha:1,MG:0 Var:9,14.274193548387096,,111,0,9
"TM (z:2.5759,a:1,(0.1, 10))",z:2.5759 alpha:1,MG:0 Var:9,22.1,,111,0,9
"WM (z:2.5759,a:1,(0.1, 10))",z:2.5759 alpha:1,MG:0 Var:9,25.257142857142856,,111,0,9
"CTM (z:2.5759,a:1,(0.1, 10))",z:2.5759 alpha:1,MG:0 Var:9,98.22222222222223,,111,0,9
"SWM (z:2.5759,a:1,15)",z:2.5759 alpha:1,MG:0 Var:9,57.15384615384615,,111,0,9
"TM (z:2.5759,a:1,(0.1, 15))",z:2.5759 alpha:1,MG:0 Var:9,136.0,,111,0,9
"WM (z:2.5759,a:1,(0.1, 15))",z:2.5759 alpha:1,MG:0 Var:9,120.0,,111,0,9
"CTM (z:2.5759,a:1,(0.1, 15))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1,20)",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1,(0.1, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1,(0.1, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1,(0.1, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1,25)",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1,(0.15, 10))",z:2.5759 alpha:1,MG:0 Var:9,22.1,,111,0,9
"WM (z:2.5759,a:1,(0.15, 10))",z:2.5759 alpha:1,MG:0 Var:9,25.257142857142856,,111,0,9
"CTM (z:2.5759,a:1,(0.15, 10))",z:2.5759 alpha:1,MG:0 Var:9,162.2,,111,0,9
"SWM (z:2.5759,a:1,30)",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1,(0.15, 15))",z:2.5759 alpha:1,MG:0 Var:9,116.57142857142857,,111,0,9
"WM (z:2.5759,a:1,(0.15, 15))",z:2.5759 alpha:1,MG:0 Var:9,136.0,,111,0,9
"CTM (z:2.5759,a:1,(0.15, 15))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1,(0.15, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1,(0.15, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1,(0.2, 10))",z:2.5759 alpha:1,MG:0 Var:9,21.047619047619047,,111,0,9
"CTM (z:2.5759,a:1,(0.2, 10))",z:2.5759 alpha:1,MG:0 Var:9,270.3333333333333,,111,0,9
"WM (z:2.5759,a:1,(0.2, 15))",z:2.5759 alpha:1,MG:0 Var:9,116.57142857142857,,111,0,9
"CTM (z:2.5759,a:1,(0.2, 15))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1,(0.2, 20))",z:2.5759 alpha:1,MG:0 Var:9,815.0,,111,0,9
"CTM (z:2.5759,a:1,(0.2, 20))",z:2.5759 alpha:1,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1.5,10)",z:2.5759 alpha:1.5,MG:0 Var:9,294.6666666666667,,111,0,9
"TM (z:2.5759,a:1.5,(0.1, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.1, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.1, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1.5,15)",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1.5,(0.1, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.1, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.1, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1.5,20)",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1.5,(0.1, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.1, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.1, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1.5,25)",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1.5,(0.15, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.15, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.15, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:1.5,30)",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:1.5,(0.15, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.15, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.15, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.15, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.15, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.2, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.2, 10))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.2, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.2, 15))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:1.5,(0.2, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"CTM (z:2.5759,a:1.5,(0.2, 20))",z:2.5759 alpha:1.5,MG:0 Var:9,900.0,,111,0,9
"SWM (z:2.5759,a:2,10)",z:2.5759 alpha:2,MG:0 Var:9,900.0,,111,0,9
"TM (z:2.5759,a:2,(0.1, 10))",z:2.5759 alpha:2,MG:0 Var:9,900.0,,111,0,9
"WM (z:2.5759,a:2,(0.1, 10))",z:2.5759 alpha:2,MG:0 Var:9,900.0,,111,0,9
