"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.1, 20))",22.1195,19.6575,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.15, 10))",9.2171,4.2313,5.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.75,"TM (z:1.6449,a:0.75,(0.15, 15))",15.3079,8.435,4.6667,8.0829
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.1, 10))",9.5135,4.1621,5.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.1, 15))",15.0428,8.4925,5.0,6.0828
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.1, 20))",28.8359,21.2243,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.15, 10))",9.5135,4.1621,5.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.15, 15))",14.7301,8.2905,4.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.15, 20))",22.3862,22.2441,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.2, 10))",9.4797,4.7216,4.3333,4.5092
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.2, 15))",13.3896,6.4108,5.0,7.8102
MG:-1 Var:1,z:1.6449 alpha:0.75,"WM (z:1.6449,a:0.75,(0.2, 20))",21.98,19.632,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 10))",342.5556,272.7018,7.0,6.245
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 15))",368.8333,227.1873,13.0,5.5678
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.1, 20))",500.0,0.0,16.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 10))",343.7083,270.7051,7.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 15))",475.3333,42.7239,13.3333,6.0277
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.15, 20))",500.0,0.0,16.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 10))",344.1538,269.9335,8.6667,6.4291
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 15))",475.3333,42.7239,14.0,7.0
MG:-1 Var:1,z:1.6449 alpha:1,"CTM (z:1.6449,a:1,(0.2, 20))",500.0,0.0,16.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,10)",26.5883,11.7609,6.0,7.2111
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,15)",79.2535,61.7961,5.6667,7.3711
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,20)",345.2143,268.0967,8.0,12.1655
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,25)",357.0952,247.5183,8.6667,11.5902
MG:-1 Var:1,z:1.6449 alpha:1,"SWM (z:1.6449,a:1,30)",500.0,0.0,11.6667,10.7858
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 10))",38.9651,25.5914,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 15))",346.0769,266.6026,9.0,6.9282
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.1, 20))",388.0,193.9897,10.0,7.8102
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.15, 10))",38.9651,25.5914,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"TM (z:1.6449,a:1,(0.15, 15))",81.2222,46.9057,8.6667,7.2342
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 10))",31.7018,17.9826,6.3333,6.8069
MG:-1 Var:1,z:1.6449 alpha:1,"WM (z:1.6449,a:1,(0.1, 15))",345.1667,268.1792,9.0,6.9282
