"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.1, 15))",500,0,80.6667,94.7066
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.1, 20))",500,0,94,91.1482
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 10))",500,0,31,28.931
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 15))",500,0,79,73.328
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.15, 20))",500,0,94.6667,89.5842
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 10))",500,0,22.6667,14.8436
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 15))",500,0,76.6667,76.0614
MG:-1 Var:1,z:1.6449 alpha:1.5,"WM (z:1.6449,a:1.5,(0.2, 20))",500,0,95.3333,91.4677
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 10))",500,0,280,131.1488
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 10))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"CTM (z:1.6449,a:2,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,10)",500,0,105,80.2932
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,15)",500,0,197,99.5038
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,20)",500,0,204.6667,102.0408
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,25)",500,0,301,171.473
MG:-1 Var:1,z:1.6449 alpha:2,"SWM (z:1.6449,a:2,30)",500,0,304.3333,165.6995
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 15))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.1, 20))",500,0,368.3333,54.8483
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.15, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"TM (z:1.6449,a:2,(0.15, 15))",500,0,267.6667,151.117
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 15))",500,0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 20))",500,0,368.6667,54.2709
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 15))",500,0,280.3333,130.6152
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 20))",500,0,368.6667,54.2709
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 10))",500,0,108.6667,86.2168
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 15))",500,0,267.3333,151.6619
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 20))",500,0,269.3333,151.6784
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 10))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,10)",500,0,365.6667,59.4671
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,15)",500,0,300.6667,172.0504
